,Document_No,Dominant_Topic_1,Topic_Keywords_1,Question,Avg_J,Avg_SD,Avg_C
19,19,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Given the functionsf(x) = 0.1 n5g(x) = 50 nlognh(x) = 0.5 2nhint ( O = at least , ? = at most, O = exactly (both O and? apply))Which of the following is true ?
",0.10029417827741881,0.17399934003069237,0.185355689395338
20,20,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Build an AVL Tree with the following values:15, 20, 24, 10, 13, 7, 30, 36, 25Which value does the root node point to?
",0.07741918431123028,0.13929697521924003,0.15382776179650573
21,21,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","What is the best and worst case for Merge Sort?
",0.2628661937175649,0.39514400648739917,0.4021586833041325
22,22,18,"call, represent, whereis, areedge, natural, assign, calculateand, view, content, top","Which of the max heaps A-H could be represented in an array?
",0.0,0.0,0.0
23,23,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Given an integer array of randomly ordered 0's and 1's what is the worst case time complexity to sort them so that all the 0's come before the 1's. Use the most efficient sorting algorithm given the conditions of the array.
",0.10289204131582304,0.1799376553453934,0.19387098696303928
24,24,4,"store, must, number, able, book, like, quickly, application, product, could","Which of the following does the method used to find a number in a phone book most closely resemble?
",0.07012019108272338,0.1282573058723618,0.152701925534001
25,25,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Consider the following binary search treeWhen completing a post order traversal what is the correct order
",0.08874698704137005,0.1579455598106495,0.17090651350203923
26,26,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Consider an AVL tree where the following have been inserted (in the given order):10, 2, 21, 55, 69, 9, 79, 10After removing 55, what would the output of the In Order traversal of the tree be ?
",0.08940305872885304,0.1594555276917476,0.17282425309604252
27,27,16,"statement, follow, false, child, rule, position, new, mean, involve, mistake","Which of the following rules for big O is FALSE?
",0.25000817987948687,0.380224607315422,0.3923424003178874
28,28,48,"graph, edge, vertex, number, use, undirected, direct, start, ordering, people","Alice is organising a dinner party between a few close friends at her workplace. She is trying to figure out the seating plan and working on sending the invites. Most of the invitees know each other, so the number of friendships is larger than the number of invitees. Alice thinks a graph would help her figure out the seating plan where all the invitees are vertices and friendships of each person are edges.Alice also wants to store names along with employee ID numbers, which are 5 digit numbers, in order to send out email invites for the party.Which data structures are most suitable for each of these uses?
",0.06023591857460269,0.11073073773192006,0.14365943396344397
29,29,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the worst case run time when trying to find an element in an AVL tree that consists of m * 2n elements ?
",0.09107410138698907,0.16254600548817086,0.17556102867416584
30,30,27,"for, follow, int, code, runtime, method, get, correctly, property, class","Which of the following best describes the run time of this algorithm:for(int i = 0; i<N; i++){ int j = -1; while(j<i){ System.out.println(""Good luck in your exams""); j++; } for(k=0; k<T; k++){ System.out.println(""You'll smash them!""); }}
",0.11288046132364772,0.19110085974996974,0.19832165419950318
31,31,15,"difference, choice, set, programming, quickly, can, critical, powerful, safety, application","What is theoretical analysis of an algorithm?
",0.07692307692307693,0.14285714285714285,0.21597969886241553
32,32,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Listed below are sorting algorithms that are considered to be stable. However, one of them can be unstable depending on the implementation. Please select that sort.
",0.12494384045054915,0.21786314351901445,0.23122651690078078
33,33,29,"hash, table, function, number, bucket, find, use, close, step, insert","Consider a closed hashtable H with linear probing. Suppose we want to store up to 900 items in H, and we want theaverageamount of steps to find any item to be less than 2.By considering the loadL, what is the smallest (whole) number of buckets H can have?
",0.12361216261165413,0.21166734350028157,0.23028460993270425
34,34,25,"none, option, select, avoid, andcomplexity, formation, skew, technique, collision, design","There are many methods to consider when designing an algorithm. Please select the option that is not a proper design technique.
",0.0,0.0,0.0
35,35,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Of the following sorting algorithms, which one has equivalent Best, Worst and Average time complexitiesandis not unstable?(For example, Selection Sort has a Best, Worst and Average time complexity of n^2. It is also stable, and thus would be a correct answer if it were there.)
",0.11854323513098565,0.20791664792606326,0.22705699244110966
36,36,45,"list, link, array, follow, middle, insert, faster, would, add, singly","Of the following processes, which data structure (Singly Linked Lists or Arrays) can complete the following tasks described faster:Task 1: Getting to the 1000th item in the data structure.Task 2: Inserting a new item at the front of the data structure.Task 2: Removing an item from the middle of the data structure.Example: An answer of [LL : A : LL] would imply that the Linked List performed task 1 fastest, the Array performed task 2 fastest, and the Linked List performed task 3 fastest.(Not the correct answer).
",0.06551994765719495,0.11936971598373512,0.15222657390575717
37,37,6,"run, second, long, implementation, likely, record, awhich, definitely, refer, instruction","Calculate given that . (Hint: Use the fact that [x^p= x mod p] when p is prime).
",0.023252911509939522,0.04458155355165322,0.0462051412440592
38,38,0,"type, point, traverse, coordinate, interface, group, happen, route, various, authority","What isDijkstra's algorithm?
",0.10481601731601731,0.1814551461610285,0.19338541672565884
39,39,0,"type, point, traverse, coordinate, interface, group, happen, route, various, authority","What isDijkstra's algorithm?
",0.10481601731601731,0.1814551461610285,0.19338541672565884
40,40,7,"comparison, show, skiplist, factory, memory, resource, exactly, respectively, certain, produce","Bob decides to run three sorting algorithms in a row, named a, b and c respectively. Given n = 16, which of these functions would takes the largest number of comparisons assuming the data begins in a ""worst case"" situation (2019 week 7a slide 5)
",0.0800525985555422,0.1467679861122484,0.1595369139661073
41,41,59,"int, while, return, integer, problem, random, count, sum, birthday, test","Consider the following problem:Given an array of integers, find the maximum product of two integers in the array. For example, consider the array [ -10, -3, 5, 6 , -2 ]. The maximum product is formed by either the (-10, 3) or (5, 6) pair.What is the complexity of the most efficient algorithm that solves this problem?
",0.05895604499728407,0.11091621071356575,0.12016496046600007
42,42,26,"result, body, num, sequence, many, positive, preform, operator, dosomethe, note","Consider an unordered complete binary tree containing all letters from A to G. Knowing that a preorder traversal of the tree results in the sequence [ B, G, C, D, A, E, F ] and a postorder traversal results in the sequence [C, D, G, E, F, A, B ], what results from an inorder traversal?
",0.06658927817644575,0.124860853432282,0.12550584206533863
43,43,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Using an ascending order merge sort, which of these inputs requires the highest possible number of comparisons?
",0.08662488993822028,0.15475057093645186,0.15986608172976594
44,44,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the maximum height of a perfectly balanced search tree of size n (2019 Lecture 8a slide 28)
",0.09452316865116772,0.16813710915504865,0.18051757587359044
45,45,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","A bubble sort algorithm takes 2ms to sort a list of 100 elements. How long should it take to sort 100000 (105) elements?
",0.0796139652111516,0.14312641074387072,0.1477929816015433
46,46,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What order would the elements of the following tree be processed in aPost Order Traversal? 5 / \ 3 7 / / \ 2 6 9
",0.097236024320137,0.17237398964698217,0.18437258193228367
47,47,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the maximum possible number of elements in a binary tree of depth 7?
",0.10258151365367547,0.1806949323567759,0.1924522353742511
48,48,29,"hash, table, function, number, bucket, find, use, close, step, insert","How many different insertion sequences of the key values, using the hash function h(k)=k mod 10, will result in the closed hash table with linear probing given below?
",0.12112596570210729,0.20890879281761843,0.22534127955255473
49,49,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Select the correct definition for a full binary tree.
",0.09983156631957199,0.1761808219507696,0.1877832770961357
50,50,45,"list, link, array, follow, middle, insert, faster, would, add, singly","Which one of the List has the quickest average run time for insert() if n >= 1000;
",0.06927309684172243,0.1264942017888038,0.14556790658801247
51,51,38,"right, leave, choose, partition, subtree, requirement, differ, left, imagine, static","Imagine you are sorting a bookshelf. As you are a conscientious computer scientist, you know better than to use the bubble sort algorithm. However, you are also very tired and don't want to implement a much more complex algorithm. You decide to sort the books by doing one pass from left to right using bubble sort to find the last book, and then another pass from right to left, again using bubble sort, to find the first book. Is this actually faster than doing a simple bubble sort?
",0.035319067787545115,0.06694524844057555,0.0898407353304226
52,52,42,"good, fastest, nlog, calculate, amortise, worst, car, cost, dealership, factory","Use Fermat's little theorem (specifically xp = x (mod p) where p is prime, Week 11b 2019, slide 12)to calculate 360% 29.
",0.02173694343118522,0.04220720585384127,0.046534971907328554
53,53,53,"need, company, for, real, system, large, tell, entry, priority, find","You have been hired by the Housing Opportunities of Northern Delaware Association to create a system which allows them to keep track of which addresses they currently have available. They have spent many decades supporting the people of the area in finding the perfect home, but have recently began to fall behind newer tech-based companies, and are determined to catch up and ensure they provide the highest quality service they can.The system is required to have the following qualities:- It must be quick to search for a given address, to find whether or not it is currently stored in the system, and to access its details. Speed is more important than space used, to ensure users are not left waiting for too long while the system runs.- It should be easy to add new addresses to the system as they become available, and to remove them once they are taken off the market.- The data does not need to be sorted, as employees personally work with each customer to recommend different homes, and so will be searching for entries directly.- You have only a rough estimate of how many addresses will need to be stored at a given time, and the number tends to vary by a large margin throughout the year due to seasonal buyers.Which data structure should you implement in the new system?
",0.1179852802064285,0.20722301926685097,0.22845589540442016
54,54,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","How many cases are there when we are removing a node from a binary search tree?
",0.09500341450691195,0.16800357292974052,0.17887579140311935
55,55,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","How many nodes are accessed during a breadth-first search for the number 11 in the following tree:
",0.09432065337792071,0.16709198552663646,0.17755414475167502
56,56,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","Which of the following data structures has a worst case space complexity of O(n log n)?
",0.22884037789127137,0.35375916962285764,0.36157057403217246
57,57,35,"order, consider, runtime, input, size, constant, post, function, print, correct","Which one of the following sorting algorithms order is the correct descending order in term of best run time if n >= 100?
",0.13044215122072297,0.2252359773134299,0.24543248637631873
58,58,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Dijkstra algorithm is a example of which of the following type of algorithm
",0.13578226832994358,0.23349542840825743,0.2518245400756402
59,59,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Pre-Order traversal on the following tree will give which output? 9 / \ 6 15 / \ \ 1 8 21 / \ 7 25
",0.09309003530678645,0.164771587731483,0.17482666937094735
60,60,12,"datum, structure, item, remove, data, implement, add, fast, follow, make","Which of the following data structures has the slowest average time complexity for inserting an item?
",0.09306441691716107,0.1663411950127029,0.18012879992327505
61,61,11,"search, binary, list, name, find, however, average, skip, suppose, interpolation","What is the average and worst case search time for a given element in a skip list?
",0.14583921681961054,0.24501267095614665,0.2584653264403829
62,62,29,"hash, table, function, number, bucket, find, use, close, step, insert","I am using the hash function H(x) = x % 7 to add functions to an open hash table. This hash table itself is indexed 0 to 6 and stores pointers to the head elements of singly linked lists which store the values added to the hash table.After the following elements are inserted (in the order they are written), how many values are stored in the linked lists that are pointed to by index 0 and index 6 respectively? (Please note that the head pointer does NOT count as a value stored)Values to add to the hash table: 49, 22, 36, 135, 48, 73, 209, 105, 1042, 591, 5, 256.
",0.11311219691273783,0.19643714161914552,0.2159955108494583
63,63,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","Take the following pseudocode for sorting books by height on a shelf:void sort(shelf of N books){ for i = 1 to N { find the smallest book between slots i and N swap this smallest book with book i; }}Which type of sort has occurred?
",0.07773993713203561,0.14073609713672983,0.1477945209948846
64,64,29,"hash, table, function, number, bucket, find, use, close, step, insert","The load factor for a hash table is:
",0.10645369741952278,0.1854799966727813,0.20616899672558342
65,65,7,"comparison, show, skiplist, factory, memory, resource, exactly, respectively, certain, produce","Which Data Structure best suits this description of a graph,and what is it's asymptotic memory usage?few vertices and many edges (dense)
",0.06432063239563363,0.11961271838932713,0.12773534843123246
66,66,34,"log, base, become, function, faster, sufficiently, purple, yellow, green, orange","Which of the following hashing techniques is based on randomisation?
",0.06666666666666667,0.125,0.13483997249264842
67,67,12,"datum, structure, item, remove, data, implement, add, fast, follow, make","Which method of tree traversal will produce reverse polish notation (RPN) from a tree made of operations and numbers?
",0.08403813484762478,0.1516052965794517,0.16292284007629668
68,68,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which two sorting algorithms have a best (O), average (?), and worst-case (O) time complexity of n(log(n))?
",0.1374031416952088,0.2357187011900219,0.2530605753294066
69,69,23,"create, deletion, state, shell, allow, record, surgery, logn, fast, must","You have been hired by a surgery to create a system that can hold patient records. The surgery is extremely busy, so retrieving records must be as fast as possible. The surgery has stated that the previous system allowed them to sort records, but this feature was no longer required. As many patients join and leave, insertion and deletion must both be very fast.
",0.03229166666666667,0.061850629507395186,0.06653316009769497
70,70,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Analyse the sorting algorithm belowvoid sort(int arr[]){ int n = arr.length; for (int i = 0; i < n-1; i++) { int min_idx = i; for (int j = i+1; j < n; j++) if (arr[j] < arr[min_idx]) min_idx = j; int temp = arr[min_idx]; arr[min_idx] = arr[i]; arr[i] = temp;}State the name of the algorithm, the worst complexity, average complexity and best complexity
",0.09741702111300828,0.1714819322755708,0.18766331869739428
71,71,4,"store, must, number, able, book, like, quickly, application, product, could","Emma likes to organise her book collection alphabetically. When she goes away to Uni, her mother buys a few books for her every month.However, she doesn't stick to Emma's system and just slides the books wherever it's more convenient. She doesn't rearrange the existing books.When Emma comes home on vacation, she wants to sort her books back into alphabetical order.What's the fastest algorithm that Emma could use?
",0.06040572149428286,0.1117656896557086,0.12632097250349966
72,72,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","A shell sort where h=1 is equivalent to which other sort?
",0.12631460627184657,0.21735038082639418,0.23300362688256224
73,73,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which of the following search algorithms is fastest if the dataset is already sorted?
",0.13468460730275364,0.22911144128233515,0.2440694678286234
74,74,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is the output of pre-order traversal on this tree?
",0.09612351876439944,0.16915680603498182,0.1794240846814851
75,75,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Consider the following binary tree:What would be the outcome of printing each node via in-order traversal?
",0.09641905371362441,0.1696781891260703,0.17971297345322104
76,76,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","If you perform a bubble sort on the list:62, 90, 14, 43, 54, 94, 18, 74, 3, 49How many swaps will have been carried out after the 5th pass?
",0.0734982992360583,0.13371465416429834,0.1401787086815074
77,77,29,"hash, table, function, number, bucket, find, use, close, step, insert","Given the hash function of % 11 into an open hashing table, which item will take the most comparisons to find if the following items are added using the given hashing function?11, 17, 32, 132, 4, 9, 100, 34, 25, 98, 165, 77, 40.
",0.10439177446505975,0.1827398309447346,0.201937417598199
78,78,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which two sorting algorithms have a best case time complexity of O(n)
",0.1385633338831393,0.2348180573290917,0.2489908068851521
79,79,29,"hash, table, function, number, bucket, find, use, close, step, insert","Consider you are implementing a hash table with 200 possible buckets, and intend to add a maximum of 150 keys to the table.The hash table is closed and uses linear probing.What is the average number of steps taken to insert/find an item in this hash table?
",0.11076468936918872,0.1925268594243317,0.21153083656918314
80,80,41,"sort, take, use, selection, many, order, would, bubble, quick, ascend","The result of each pass of a sorting algorithm is shown below:Initial list: 3 4 2 1 7 5 8 61st pass: 2 1 3 4 7 5 8 62nd pass: 1 2 3 4 7 5 8 63rd pass: 1 2 3 4 5 6 7 84th pass: 1 2 3 4 5 6 7 8Which sorting algorithm was used?
",0.06635406889300881,0.12119901564074473,0.12847504185554512
81,81,12,"datum, structure, item, remove, data, implement, add, fast, follow, make","Which data structure can be implemented to enable both adding at the beginning and removing at the end to have O(1) complexity?
",0.08712396701325706,0.15723709778969858,0.16927689493911302
82,82,12,"datum, structure, item, remove, data, implement, add, fast, follow, make","Which data structure has nodes, leaves and branches?
",0.08711137355665721,0.15622186667651977,0.1677680430812354
83,83,12,"datum, structure, item, remove, data, implement, add, fast, follow, make","Which data structure is a degenerate binary tree most similar to?
",0.08780698521911885,0.15726386209533777,0.1682889731838912
84,84,14,"value, operation, perform, similar, expect, many, page, real, note, temp","(529 - x) is divisible by 29, x>0. What is the smallest possible value of x?
",0.0956860438079819,0.16155939889319995,0.166262339808978
85,85,14,"value, operation, perform, similar, expect, many, page, real, note, temp","(529 - x) is divisible by 29, x>0. What is the smallest possible value of x?
",0.0956860438079819,0.16155939889319995,0.166262339808978
86,86,0,"type, point, traverse, coordinate, interface, group, happen, route, various, authority","What type of partial order does this represent?(<H) = (=V) ? (<S) ? (=V)
",0.08908568025828087,0.15687868041673594,0.17194861669603495
87,87,40,"node, next, object, previous, doubly, pointer, pointerthe, head, link, contain","This abstract data structure uses nodes to contains its elements, has a pointer that indicates its head, or leading, element (and potentially one to indicate its tail element) and each of its nodes contains a reference to both the node ahead of it and behind it. What is it?
",0.07468165400809824,0.13832196216266054,0.16201248445372454
88,88,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Jimmy owns a large selection of vinyl records. He has just inherited more records from his recently deceased mother.His mother had the exact amount of records that Jimmy has, doubling Jimmy's collection.Jimmy has decided that now is a good time to finally sort his collection by arranging the records in alphabetical order, whilst adding the new ones.Jimmy has some preferences when it comes to sorting the collection:- He doesn't have any more space for sorting. He has enough storage for all of the records, no more, no less.- With a large number of items to sort, he wants this done as fast as possible.
",0.09008582387162495,0.15964379715091592,0.17959879729182787
89,89,14,"value, operation, perform, similar, expect, many, page, real, note, temp","If 617 – x is divisible by 17.What is the value of x?
",0.10833590989615849,0.1786796569259822,0.18360472783318812
90,90,16,"statement, follow, false, child, rule, position, new, mean, involve, mistake","Which of the following statements regarding complexity isnot correct?
",0.247765245601822,0.3767289505779178,0.38799786770371064
91,91,59,"int, while, return, integer, problem, random, count, sum, birthday, test","The following algorithm has time complexity O(f(n))int count = 0;for(int i = 0; i<n; i++){ for(int j = 0; j<(10*n); j++){ count++; } }for(int k = 0; k<n; k++){ count++; }return count;what is f(n)?
",0.09272917704125103,0.16269464984469564,0.17003465490977876
92,92,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Below we see an unbalanced tree. 5 / \ 1 6 \ 4 / 3The tree is balanced with the Right Left case, what is the output if we traverse the newly balanced tree using in order traversal?
",0.09590376430653445,0.16886171463795713,0.17909055215731925
93,93,9,"true, advantage, main, let, off, boolean, follow, prefer, qif, pessimistic","Let the time taken to execute a heap sort be T(n) (where n is the number of elements to be sorted).Which of the following is true?
",0.09975202276303867,0.18035524920466597,0.1997677039908728
94,94,6,"run, second, long, implementation, likely, record, awhich, definitely, refer, instruction","An algorithm of complexity ?(2^n) takes 2 seconds to run at n=4. How long will it take to run at n=10?
",0.08833666521779246,0.15051955401843847,0.15352355362019823
95,95,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","What is the worst case time complexity of a heap sort (2019 week 7a slide 5)
",0.2321816551969419,0.3590060113171704,0.36782723370203635
96,96,35,"sort, algorithm, follow, stable, average, best, unstable, would, insertionsort, equal","Which of the following sorting algorithms is unstable and has average time complexityT(n log(n))?
",0.14886279654085402,0.2486062621717024,0.2624861528703097
97,97,59,"int, while, return, integer, problem, random, count, sum, birthday, test","What is the time complexity of the following function:int f(int n){ int count = 0; for(int i = 0; i<=n; i++){ for(int j = i; j>0; i++){ j/=2; count++; } } return count;}
",0.12495115667901245,0.2105515182050626,0.21907177988560475
98,98,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Below we see an unbalanced tree. 5 / \ 1 6 \ 4 / 3What is the correct case for balancing and what is the output if we traverse the tree using post order traversal?
",0.095607300500165,0.16839592517814736,0.1787355231558523
99,99,6,"run, second, long, implementation, likely, record, awhich, definitely, refer, instruction","If an algorithm of order O( sqrt(n) ) takes 4 seconds to run at n = 50, what is the expected time for n = 200?
",0.10286714428916031,0.17652950472680937,0.17962765577439027
100,100,8,"case, bad, quicksort, space, complexity, scenario, teach, cast, bubblesort, exception","Which array function has a worst case time complexity which is higher than its average case?Key:o = objecti = index
",0.2102818358192065,0.3301302648993642,0.3393934281916066
101,101,29,"hash, table, function, number, bucket, find, use, close, step, insert","Consider a closed hash table where h(x) = x% 8 where the index is 0 through 7. When inserting the following data, which value occupies the place indexed 4?27, 145, 87, 45, 23, 56, 79, 135
",0.10844524347566456,0.18918993599642145,0.20715030854111788
102,102,48,"graph, edge, vertex, number, use, undirected, direct, start, ordering, people","What is the result of using a breadth first traversal on this graph, printing every node visited?
",0.07599956776107038,0.13816177126719517,0.15903788986967995
103,103,29,"hash, table, function, number, bucket, find, use, close, step, insert","A closed hash function h(x) = x%13 has slots 0 through to 12. When the elements (2, 55, 4, 26, 11, 14, 37, 30, 43, 40, 44, 6, 23) are inserted into the Hash table, in what slots are 43, 6 and 44 respectively?
",0.10616959539978939,0.18569004136723713,0.20268312091222274
104,104,1,"order, consider, runtime, input, size, constant, post, function, print, correct","Which binary tree is correct for the sequences below?In-order : B, A, D, C, Epre-order : A, B, C, D, E
",0.050929203393693674,0.09620835805196178,0.10388632808008907
105,105,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","Which of the following is the correct post-order traversal of the binary tree shown below? 2 / \ 31 14 / \ / \12 7 25 16
",0.09787005704281847,0.17199307516176063,0.18249183280151218
106,106,16,"statement, follow, false, child, rule, position, new, mean, involve, mistake","Consider the following statements about the following functions: , , and .Which one of the following statements is correct?
",0.22656702336844697,0.3510090095024403,0.36495633009978284
107,107,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","What is the average Big Theta time complexity for Quicksort?
",0.10320554995293013,0.17915849199550538,0.19873149042250776
108,108,31,"tree, node, binary, follow, avl, traversal, order, search, number, root","What is considered a maximum height of a perfectly balanced search tree?
",0.0981229927140124,0.17235634044077502,0.18269482819141805
109,109,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Consider the following algorithm with asymptotic time complexity O(f(n)).for (int i=0; i<20*n; i++) for(int j=0; j<n; j++) System.out.println(""A"");for (int i=1; i<n; i++) System.out.println(""B"");What is f(n)?
",0.10449847325362985,0.18228352454802307,0.19940691080114523
110,110,47,"complexity, time, for, give, large, asymptotic, follow, loop, byo, nest","Consider the following algorithm with asymptotic time complexity O(f(n)).for (int i=0; i<20*n; i++) for(int j=0; j<n; j++) System.out.println(""A"");for (int i=1; i<n; i++) System.out.println(""B"");What is f(n)?
",0.10449847325362985,0.18228352454802307,0.19940691080114523
111,111,40,"list, link, array, follow, middle, insert, faster, would, add, singly","What makes an XOR or memory-efficient doubly-linked list different from a standard doubly-linked list?
",0.06071659916399877,0.11290196680158321,0.12754229969311887
112,112,49,"big, theta, notation, omega, exact, estimate, estimation, boundbig, identify, aka","Let , . What is the complexity in big O notation of ?
",0.062449374699374706,0.10968485616812258,0.11060891635986451
113,113,27,"for, follow, int, code, runtime, method, get, correctly, property, class","Which of the following is the pseudo code for insertion sort?
",0.11796945616128045,0.200911118763314,0.2162054526290706
