,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Question
1440,1440,0.0,0.20909999310970306,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['collection', 'node', 'call', 'line', 'segment', 'call', 'connect', 'pair', 'node', 'vertice', 'path', 'edge', 'vertex', 'graph', 'edge', 'vertex', 'edge']","A graph is a collection of nodes, called _____, and line segments called arcs or_____ that connect pairs of nodes.
"
658,658,0.0,0.22030000388622284,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['give', 'list', 'name', 'initially', 'sort', 'alphabetical', 'order', 'first', 'name', 'however', 'want', 'change', 'sort', 'last', 'name', 'if', 'order', 'first', 'name', 'initially', 'sort', 'achieve', 'quick', 'way', 'general', 'sort', 'algorithm', 'would', 'best']","You are given a list of names that is initially sorted in alphabetical order by their first names. However you now want to change it to be sorted by their last names, and if they are the same then order them by their first names as initially sorted. To achieve this in the quickest way in general, which of the sorting algorithms would be best to use?
"
1317,1317,0.0,0.10819999873638153,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['dijkstra', 'algorithm', 'number', 'vertice', 'number', 'edge', 'ev']","What is the time complexity of Dijkstra's Algorithm? (v is the number of vertices, e is the number of edges)
"
1338,1338,0.0,0.3061000108718872,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['relation', 'move', 'forward', 'hit', 'dead', 'end', 'previously', 'visit', 'point', 'backtrack', 'traverse', 'along', 'path', 'traverse', 'along', 'left', 'edge', 'visit', 'backtrack', 'right', 'edge', 'graph', 'grow', 'concentric', 'circle', 'explore', 'different', 'level', 'time', 'visit', 'vertex', 'randomly', 'visit']","With relation to graphs, what isdepth-first traversal?
"
474,474,0.0,0.15710000693798065,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['well', 'way', 'represent', 'graph', 'term', 'memory', 'storage', 'if', 'lot', 'edge', 'vertex']","Which is a better way to represent a graph (in terms of memory storage) if you had lots of edges but few vertices?
"
860,860,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is an adjacency matrix?
"
51,51,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What isDijkstra's algorithm?
"
728,728,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What other ADT does the breadth first traversal algorithm use to navigate a graph?
"
846,846,0.0,0.23469999432563782,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['theory', 'undirected', 'graph', 'number', 'vertice', 'odd', 'degree', 'even', 'lemma', 'consequence', 'thedegree', 'formula', 'for', 'graph', 'vertex', 'set', 'edge', 'set', 'work', 'sum', 'degree', 'vertex', 'for', 'follow', 'undirected', 'graph']","In graph theory, the handshaking lemma states that ""In any finite undirected graph, the number of vertices with odd degree is even"".The lemma is a consequence of thedegree sum formula: for a graph with vertex set and edge set .Work out the sum of degrees of the vertices for the following undirected graph:
"
789,789,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is(n)?
"
1934,1934,0.0,0.31610000133514404,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['if', 'take', 'represent', 'graph', 'multiply', 'time', 'find', 'edge', 'vertex', 'apart', 'vertex', 'vertice', 'edge', 'vertex', 'apart', 'useful']","If we take an Adjacency Matrix, A, that represents a graph, and multiply it by itself n times, we find out:
"
1400,1400,0.0,0.2240000069141388,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['graph', 'edge', 'go', 'vertex', 'specific', 'direction', 'know', 'graph', 'pointer', 'graph', 'direct', 'way', 'graph', 'none']","A graph in which all edges go from one vertex to another in a specific direction is known as what?
"
1624,1624,0.0,0.1606999933719635,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['piece', 'code', 'run', 'simultaneously', 'know', 'process', 'processor', 'branch', 'thread', 'leave']","Two or more pieces of code running simultaneously are known as what?
"
471,471,0.0,0.1809999942779541,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['show', 'friend', 'whowhich', 'node', 'friend']","This adjacency matrix shows who is friends with who.Which node has the most friends?
"
1626,1626,0.0,0.4239000082015991,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['rather', 'adjacency', 'list', 'lot', 'edge', 'lot', 'vertex', 'lot', 'edge', 'vertex', 'edge', 'vertex', 'edge', 'lot', 'vertex']","When should you use an adjacency matrix rather than an adjacency list?
"
473,473,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is 413 mod 7?
"
1896,1896,0.0,0.3395000100135803,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['representation', 'graph', 'for', 'dense', 'graph', 'anadjacency', 'graph', 'many', 'edge', 'vertex', 'call', 'dense', 'graph', 'anadjacency', 'if', 'lot', 'edge', 'vertex']","Which Representation of a graph should you use for a dense graph?
"
65,65,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the method forSelection Sort?
"
1234,1234,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the result of ?(n2)+?(n)?
"
1250,1250,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is 16^71 mod 71?16^71 = x mod71.x=?
"
50,50,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What isDijkstra's algorithm?
"
892,892,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is a ADT?
"
34,34,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is ""big O"" of heapify?
"
1115,1115,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the time complexity of this algorithm: 5n3+ 100n2+ 0.1n3.5 + 1000n?
"
1002,1002,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is linear probing?
"
1001,1001,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is linear probing?
"
1510,1510,0.0,0.541700005531311,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['try', 'mathematically', 'speed', 'delivery', 'time', 'make', 'graph', 'graph', 'vertex', 'house', 'house', 'edge', 'if', 'street', 'also', 'decide', 'make', 'graph', 'graph', 'monitor', 'friendship', 'elf', 'could', 'best', 'choose', 'elf', 'would', 'for', 'factory', 'secret', 'however', 'find', 'nearly', 'pointless', 'although', 'elf', 'work', 'for', 'almost', 'friend', 'graph', 'edge', 'draw', 'if', 'graph', 'list', 'start', 'prepare', 'for', 'for', 'graph', 'list', 'for', 'graph', 'matric', 'for', 'matrix', 'for', 'graph', 'list', 'for', 'graph', 'list', 'for', 'graph', 'list', 'for', 'for']","Santa was trying to mathematically speed up his delivery times, so he made a graph (graph A) where the vertices were houses and two houses had an edge between them if they were on the same street. He also decided to make a graph (graph B) to monitor friendships between his elves so he could best choose which elves would get each other for the factory Secret Santa that year; however, he found it to be nearly pointless, as although he has 1000 elves working for him, almost all of them are friends with each other! In this graph each elf is a vertex and they have an edge drawn between each other if they are friends.To respresent each graph, should Santa use an adjacency matrix or an adjacency list?? Hurry up, he has to start preparing for Christmas 2020 ASAP!!
"
280,280,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is ""time resolution""?
"
1530,1530,0.0,0.23019999265670776,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['represent', 'graph', 'follow', 'matrix', 'represent', 'vertex', 'areedge', 'apart', 'whereis', 'natural', 'number']","Supposeis the adjacency matrix representing a graph. Which of the following is the matrix representing vertices that areedges apart, whereis a natural number?
"
1818,1818,0.0,0.1542000025510788,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['if', 'store', 'graph', 'edge', 'vertex', 'asymptotic']","If you stored a graph with e edges and v vertices as an adjacency matrix, what is the asymptotic memory usage of this matrix?
"
437,437,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the“Time complexity” of an algorithm (T(n))?
"
9,9,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"Is the below tree AVL? 5 3 7 2 6 81 9
"
452,452,0.0,0.23029999434947968,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['represent', 'graph', 'follow', 'matrix', 'represent', 'vertex', 'areedge', 'apart', 'whereis', 'natural', 'number']","Supposeis the adjacency matrix representing a graph. Which of the following is the matrix representing vertices that areedges apart, whereis a natural number?
"
1812,1812,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the time complexity of the heapsort algorithm?
"
956,956,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"Which statement is incorrect?
"
1549,1549,0.0,0.17399999499320984,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['show', 'friend', 'whowhich', 'node', 'friend', 'none']","This adjacency matrix shows who is friends with who.Which node has the most friends?
"
425,425,0.0,0.0885000005364418,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['perform', 'algorithm', 'follow', 'graph', 'start', 'vertex', 'output']","Perform Dijkstra's algorithm on the following graph with starting vertex A.What will be outputted?
"
15,15,0.0,0.13609999418258667,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['dense', 'sparse', 'graph', 'number', 'vertice', 'number', 'edge']","The asymptotic memory usage of dense and sparse graphs where v is the number of vertices and e is the number of edges is:
"
1551,1551,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is 413 mod 7?
"
1488,1488,0.0,0.4043999910354614,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['if', 'direct', 'graph', 'happen', 'identity', 'result', 'show', 'matrix', 'arcs', 'apart', 'result', 'show', 'matrix', 'arcs', 'apart', 'result', 'show', 'matrix', 'arcs', 'apart', 'include', 'combination', 'apart', 'back', 'result', 'matrix', 'show', 'node', 'reach', 'travel', 'along', 'arcs', 'length']","If we cube the adjacency matrix of a directed graph, what should happen?
"
1113,1113,0.0,0.37959998846054077,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['organise', 'party', 'close', 'friend', 'workplace', 'try', 'figure', 'work', 'send', 'invite', 'invitee', 'know', 'number', 'friendship', 'large', 'number', 'invitee', 'think', 'graph', 'would', 'help', 'figure', 'invitee', 'vertex', 'friendship', 'person', 'edgesalice', 'also', 'want', 'store', 'name', 'along', 'employee', 'would', 'number', 'digit', 'number', 'order', 'send', 'email', 'invite', 'for', 'partywhich', 'data', 'structure', 'suitable', 'for', 'use', 'adjacency', 'list', 'for', 'skip', 'list', 'for', 'for', 'link', 'list', 'for', 'for', 'open', 'hash', 'table', 'for', 'invite', 'adjacency', 'list', 'for', 'closed', 'hash', 'table', 'for', 'invite', 'adjacency', 'list', 'for', 'open', 'hash', 'table', 'for', 'invite']","Alice is organising a dinner party between a few close friends at her workplace. She is trying to figure out the seating plan and working on sending the invites. Most of the invitees know each other, so the number of friendships is larger than the number of invitees. Alice thinks a graph would help her figure out the seating plan where all the invitees are vertices and friendships of each person are edges.Alice also wants to store names along with employee ID numbers, which are 5 digit numbers, in order to send out email invites for the party.Which data structures are most suitable for each of these uses?
"
1112,1112,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is ""big O"" of heapify?
"
2118,2118,0.0,0.18310000002384186,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['if', 'matter', 'different', 'base', 'could', 'result', 'complexity', 'slower', 'faster', 'grow', 'function', 'change', 'base', 'use', 'change', 'base', 'formula', 'would', 'result', 'constant', 'constant', 'change', 'base', 'use', 'change', 'base', 'formula', 'would', 'result', 'factor']","If an algorithm has a complexity of, does it matter what k is? Why?
"
1110,1110,0.0,0.19259999692440033,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['big', 'many', 'customer', 'customer', 'typically', 'send', 'payment', 'several', 'peoplewhich', 'type', 'graph', 'representation', 'would', 'list', 'list', 'if', 'edge', 'vertex', 'lot', 'vertex']","Big Bank has many customers (about 20,000) but its customers typically only send payments to several people.Which type of graph representation would you use?
"
1926,1926,0.0,0.14959999918937683,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['happen', 'if', 'result', 'represent', 'vertex', 'edges_apart', 'result', 'represent', 'vertex', 'reverse', 'direction', 'edge']","What happens if you multiply an adjacency matrix by itself?
"
250,250,0.0,0.016699999570846558,"vertex, edge, graph, change, show, matrix, also, if, formula, name",[],"What is the shortest path from u to z?
"
1303,1303,0.0,0.35760000348091125,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['consider', 'follow', 'graph', 'multiply', 'resultant', 'represent', 'result', 'matrix', 'show', 'distance', 'graph', 'result', 'matrix', 'show', 'vertex', 'edge', 'result', 'transpose', 'triangular', 'matrix', 'graph', 'node', 'result', 'significance', 'graph', 'result', 'matrix', 'show', 'unreachable', 'vertex', 'vertex']","Consider the following graph and it's adjacency matrix M:When an adjacency matrix is multiplied by itself (i.e. M * M = ?) what does the resultant matrix represent?
"
432,432,0.0,0.5903000235557556,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['try', 'mathematically', 'speed', 'delivery', 'time', 'make', 'graph', 'graph', 'vertex', 'house', 'house', 'edge', 'if', 'street', 'also', 'decide', 'make', 'graph', 'graph', 'monitor', 'friendship', 'elf', 'could', 'best', 'choose', 'elf', 'would', 'for', 'factory', 'secret', 'however', 'find', 'nearly', 'pointless', 'although', 'elf', 'work', 'for', 'almost', 'friend', 'graph', 'edge', 'draw', 'if', 'graph', 'list', 'start', 'prepare', 'for']","Santa was trying to mathematically speed up his delivery times, so he made a graph (graph A) where the vertices were houses and two houses had an edge between them if they were on the same street. He also decided to make a graph (graph B) to monitor friendships between his elves so he could best choose which elves would get each other for the factory Secret Santa that year; however, he found it to be nearly pointless, as although he has 1000 elves working for him, almost all of them are friends with each other! In this graph each elf is a vertex and they have an edge drawn between each other if they are friends.To respresent each graph, should Santa use an adjacency matrix or an adjacency list?? Hurry up, he has to start preparing for Christmas 2020 ASAP!!
"
1858,1858,0.0,0.3183000087738037,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['say', 'want', 'store', 'data', 'graph', 'datum', 'show', 'factory', 'produce', 'certain', 'resource', 'supply', 'factory', 'factory', 'deliver', 'resource', 'approximately', 'factory', 'shall', 'store', 'graph', 'array', 'picture', 'graph', 'look', 'like', 'array', 'link', 'list', 'skip', 'list', 'tree', 'node', 'child']","Say we want to store data in a graph. The data shows which factories, that produce certain resources, supply to some of the other factories. There are 100 factories, each of which deliver resources to approximately 15 other factories each. How shall we store the graph?
"
165,165,0.0,0.09390000253915787,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['store', 'would', 'show', 'vertex', 'exactly', 'edges_apart']","With a graph stored as an adjacency matrix, which of these would show you which vertices are exactly two edges apart?
"
546,546,0.0,0.13619999587535858,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['piece', 'code', 'run', 'simultaneously', 'know']","Two or more pieces of code running simultaneously are known as what?
"
548,548,0.0,0.065700002014637,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['rather', 'adjacency', 'list']","When should you use an adjacency matrix rather than an adjacency list?
"
1552,1552,0.0,0.19990000128746033,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['well', 'way', 'represent', 'graph', 'term', 'memory', 'storage', 'if', 'lot', 'edge', 'vertex', 'adjacency', 'list', 'powerpoint', 'graph', 'slide']","Which is a better way to represent a graph (in terms of memory storage) if you had lots of edges but few vertices?
"
740,740,0.0,0.15459999442100525,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['if', 'store', 'graph', 'edge', 'vertex', 'asymptotic']","If you stored a graph with e edges and v vertices as an adjacency matrix, what is the asymptotic memory usage of this matrix?
"
396,396,0.0,0.12880000472068787,"vertex, edge, graph, change, show, matrix, also, if, formula, name","['compare', 'adjacency', 'list', 'number', 'vertex', 'number', 'edge']","What is the asymptotic memory usage of an adjacency matrix compared to an adjacency list?[v is the number of vertices, e is the number of edges]
"
469,469,2.0,0.16110000014305115,"tree, binary, node, avl, search, child, root, follow, height, leaf","['consider', 'follow', 'avl', 'tree', 'insert', 'value', 'sequence', 'rotation', 'would', 'require', 'rebalance', 'tree', 'subtree', 'rotation', 'apply', 'leave', 'unspecified']","Consider the following AVL tree:After inserting the value 7, what sequence of rotations would be required to rebalance the tree?(The subtrees at which rotations are applied are left unspecified)
"
1643,1643,2.0,0.15410000085830688,"tree, binary, node, avl, search, child, root, follow, height, leaf","['would', 'correctly', 'balance', 'binary', 'avl', 'tree', 'consist', 'value']","Which of these would be a correctly balanced, binary, AVL tree consisting of the values [84,112,201,267,273,1023,1749,2044]?
"
1656,1656,2.0,0.14820000529289246,"tree, binary, node, avl, search, child, root, follow, height, leaf","['valid', 'tree', 'none']","Which of these IS a valid AVL Tree?
"
1650,1650,2.0,0.15299999713897705,"tree, binary, node, avl, search, child, root, follow, height, leaf","['for', 'follow', 'avl', 'tree', 'tree', 'result', 'add', 'string']","for the following AVL tree, what tree will be the result of adding the string ""10"" 5 / \ 2 7 / \ / \ 0 3 6 9
"
504,504,2.0,0.2353000044822693,"tree, binary, node, avl, search, child, root, follow, height, leaf","['avl', 'tree', 'make', 'contain', 'node', 'minimum', 'height', 'tree']","An AVL Tree is made containing 35 nodes. What is the minimum height of the tree
"
483,483,2.0,0.22210000455379486,"tree, binary, node, avl, search, child, root, follow, height, leaf","['follow', 'tree', 'valid', 'avl', 'tree']","Is the following tree a valid AVL tree?
"
572,572,2.0,0.15299999713897705,"tree, binary, node, avl, search, child, root, follow, height, leaf","['for', 'follow', 'avl', 'tree', 'tree', 'result', 'add', 'string']","for the following AVL tree, what tree will be the result of adding the string ""10"" 5 / \ 2 7 / \ / \ 0 3 6 9
"
565,565,2.0,0.15410000085830688,"tree, binary, node, avl, search, child, root, follow, height, leaf","['would', 'correctly', 'balance', 'binary', 'avl', 'tree', 'consist', 'value']","Which of these would be a correctly balanced, binary, AVL tree consisting of the values [84,112,201,267,273,1023,1749,2044]?
"
564,564,2.0,0.10329999774694443,"tree, binary, node, avl, search, child, root, follow, height, leaf","['follow', 'property']","Which of the following is not a property of the Upper Bound O(n)?
"
551,551,2.0,0.18359999358654022,"tree, binary, node, avl, search, child, root, follow, height, leaf","['work', 'perfectly_balanced', 'binary', 'avl', 'tree', 'consist', 'value', 'traverse', 'start', 'finish', 'follow', 'output', 'give', 'type', 'use']","When working with a perfectly balanced, binary, AVL tree consisting of the values[84,112,201,267,273,1023,1749,2044] by traversing from start to finish the following output is given:84,201,267,112,1023,2044,1749,273What type of transversal was used?
"
1555,1555,2.0,0.1256999969482422,"tree, binary, node, avl, search, child, root, follow, height, leaf","['leave', 'perfectly_balanced', 'binary', 'tree', 'enter', 'number', 'order']","What are the leaves of a perfectly balanced binary tree when you enter numbers in order: 10,8,6,2,11,100,7
"
542,542,2.0,0.11890000104904175,"tree, binary, node, avl, search, child, root, follow, height, leaf","['follow', 'statement', 'avl', 'tree', 'true']","Which of the following statements about AVL trees is NOT true?
"
1561,1561,2.0,0.37540000677108765,"tree, binary, node, avl, search, child, root, follow, height, leaf","['follow', 'tree', 'valid', 'avl', 'tree', 'planation', 'although', 'root', 'node', 'balanced', 'child', 'gs', 'tree']","Is the following tree a valid AVL tree?
"
1563,1563,2.0,0.2556000053882599,"tree, binary, node, avl, search, child, root, follow, height, leaf","['give', 'follow', 'number', 'arrange', 'complete', 'balanced', 'binary', 'search', 'tree', 'follow', 'preordere', 'traversal', 'tree', 'none']","Given the following numbers 58, 4, 102, 13, 27, 99, 1, arrange them in a complete balanced binary search tree. Which of the following is the preordered traversal of the tree?
"
1567,1567,2.0,0.44449999928474426,"tree, binary, node, avl, search, child, root, follow, height, leaf","['sentence', 'correctly', 'avl', 'tree', 'tree', 'balance', 'height', 'balanced', 'tree', 'immutable', 'object', 'initialise', 'tree', 'unbalanced', 'height', 'balanced', 'tree', 'tree', 'node', 'atmost', 'child']","Finish the sentence correctly:An AVL tree is a ...
"
1571,1571,2.0,0.29440000653266907,"tree, binary, node, avl, search, child, root, follow, height, leaf","['consider', 'follow', 'binary', 'tree', 'follow', 'traversal', 'true', 'inorder', 'preorder_postorder', 'inorder', 'inorder', 'inorder', 'none']","Consider the following binary tree, which of the following traversal is true? 15 / \ 7 19 / \ / \ 6 8 16 21
"
477,477,2.0,0.1256999969482422,"tree, binary, node, avl, search, child, root, follow, height, leaf","['leave', 'perfectly_balanced', 'binary', 'tree', 'enter', 'number', 'order']","What are the leaves of a perfectly balanced binary tree when you enter numbers in order: 10,8,6,2,11,100,7
"
525,525,2.0,0.2295999974012375,"tree, binary, node, avl, search, child, root, follow, height, leaf","['picture', 'show', 'balanced', 'avl', 'tree', 'balanced', 'avl', 'tree', 'look_like']","The picture below shows a balanced AVL Tree.If I were to insert 10 (or '0010') into the tree. What will the balanced AVL Tree look like after?
"
1582,1582,2.0,0.22660000622272491,"tree, binary, node, avl, search, child, root, follow, height, leaf","['avl', 'tree', 'make', 'contain', 'node', 'minimum', 'height', 'tree', 'minimum']","An AVL Tree is made containing 35 nodes. What is the minimum height of the tree
"
1598,1598,2.0,0.2590000033378601,"tree, binary, node, avl, search, child, root, follow, height, leaf","['provide', 'follow', 'number', 'if', 'perfectly_balanced', 'binary', 'search', 'tree', 'construct', 'array', 'number', 'root', 'node', 'none', 'other']","An array is provided with the following numbers: {16, 87, 54, 98, 61, 33, 74}. If a perfectly balanced binary search tree is constructed from this array, which number will be in the root node?
"
512,512,2.0,0.13279999792575836,"tree, binary, node, avl, search, child, root, follow, height, leaf","['give', 'follow', 'binary', 'tree', 'method', 'tree', 'traversal', 'would', 'result', 'output']","Given the following binary tree, which method of tree traversal would result in the output:a b d c e f
"
1601,1601,2.0,0.24609999358654022,"tree, binary, node, avl, search, child, root, follow, height, leaf","['follow', 'search', 'algorithm', 'perform', 'good', 'give', 'much', 'memory', 'need', 'apply', 'appropiate', 'data', 'structure', 'search', 'binary', 'search', 'binary', 'tree', 'search', 'hash', 'search']","Which of the following searching algorithms performs the best giving that we have as much memory as needed and we apply them to the most appropiate data structures.
"
1602,1602,2.0,0.22130000591278076,"tree, binary, node, avl, search, child, root, follow, height, leaf","['follow', 'bst', 'valid', 'avl', 'tree']","Which of the following BSTs is not a valid AVL Tree?
"
1603,1603,2.0,0.2295999974012375,"tree, binary, node, avl, search, child, root, follow, height, leaf","['picture', 'show', 'balanced', 'avl', 'tree', 'balanced', 'avl', 'tree', 'look_like']","The picture below shows a balanced AVL Tree.If I were to insert 10 (or '0010') into the tree. What will the balanced AVL Tree look like after?
"
1009,1009,2.0,0.302700012922287,"tree, binary, node, avl, search, child, root, follow, height, leaf","['consider', 'binary', 'tree', 'numeric', 'node', 'leave', 'sub', 'tree', 'consist', 'number', 'node', 'right', 'sub', 'tree', 'consist', 'number', 'great', 'nodethis', 'tree', 'empty', 'root', 'value', 'follow', 'number', 'insert', 'tree', 'order', 'leave', 'right', 'ie', 'insert', 'first', 'height', 'number', 'level', 'tree']","Consider a binary tree with numeric nodes where the left sub-tree consists of numbers less than the node, and the right sub-tree consists of numbers greater than the node.This tree is empty other than the root value: 10.The following numbers are inserted into the tree in order from left to right (i.e. 15 is inserted first):15, 6, 12, 4, 9, 11, 7, 8What is the height (number of levels) of the tree?
"
493,493,2.0,0.12039999663829803,"tree, binary, node, avl, search, child, root, follow, height, leaf","['consider', 'follow', 'binary', 'tree', 'follow', 'traversal', 'true']","Consider the following binary tree, which of the following traversal is true? 15 / \ 7 19 / \ / \ 6 8 16 21
"
489,489,2.0,0.18060000240802765,"tree, binary, node, avl, search, child, root, follow, height, leaf","['sentence', 'correctly', 'avl', 'tree']","Finish the sentence correctly:An AVL tree is a ...
"
485,485,2.0,0.2345000058412552,"tree, binary, node, avl, search, child, root, follow, height, leaf","['give', 'follow', 'number', 'arrange', 'complete', 'balanced', 'binary', 'search', 'tree', 'follow', 'preordere', 'traversal', 'tree']","Given the following numbers 58, 4, 102, 13, 27, 99, 1, arrange them in a complete balanced binary search tree. Which of the following is the preordered traversal of the tree?
"
